Fotball_Org,Team_data
1. FC Nürnberg,Nurnberg
1. FSV Mainz 05,Mainz
AFC Bournemouth,Bournemouth
Arsenal FC,Arsenal
Aston Villa FC,Aston Villa
Bayer 04 Leverkusen,Leverkusen
Birmingham City FC,Birmingham
Blackburn Rovers FC,Blackburn
Bolton Wanderers FC,Bolton
Borussia Mönchengladbach,M'gladbach
Brentford FC,Brentford
Brighton & Hove Albion FC,Brighton
Bristol City FC,Bristol City
Burnley FC,Burnley
BV Borussia 09 Dortmund,Dortmund
Cardiff City FC,Cardiff
Chelsea FC,Chelsea
Crystal Palace FC,Crystal Palace
Derby County FC,Derby
Eintracht Frankfurt,Frankfurt FSV
Everton FC,Everton
FC Augsburg,Augsburg
FC Bayern München,Bayern Munich
FC Schalke 04,Schalke 04
Fulham FC,Fulham
Hannover 96,Hannover
Hertha BSC,Hertha
Huddersfield Town AFC,Huddersfield
Hull City AFC,Hull
Ipswich Town FC,Ipswich
Leeds United AFC,Leeds
Leicester City FC,Leicester
Liverpool FC,Liverpool
Manchester City FC,Man City
Manchester United FC,Man United
Middlesbrough FC,Middlesbrough
Millwall FC,Millwall
Newcastle United FC,Newcastle
Norwich City FC,Norwich
Nottingham Forest FC,Nott'm Forest
Preston North End FC,Preston
Queens Park Rangers FC,QPR
RB Leipzig,RB Leipzig
Reading FC,Reading
Rotherham United FC,Rotherham
SC Freiburg,Freiburg
Sheffield United FC,Sheffield United
Sheffield Wednesday FC,Sheffield Weds
Southampton FC,Southampton
Stoke City FC,Stoke
SV Werder Bremen,Werder Bremen
Swansea City AFC,Swansea
Tottenham Hotspur FC,Tottenham
TSG 1899 Hoffenheim,Hoffenheim
TSV Fortuna 95 Düsseldorf,Fortuna Dusseldorf
VfB Stuttgart,Stuttgart
VfL Wolfsburg,Wolfsburg
Watford FC,Watford
West Bromwich Albion FC,West Brom
West Ham United FC,West Ham
Wigan Athletic FC,Wigan
Wolverhampton Wanderers FC,Wolves
